Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered,Infection_case
2020-04-16,146181,7400,138781,0,0,0,1513
2020-04-17,148368,7529,140839,2187,129,2058,1709
2020-04-18,150027,7629,142398,1659,100,1559,1569
2020-04-19,151330,7731,143599,1303,102,1201,1454
2020-04-20,152955,7854,145101,1625,123,1502,1128
2020-04-21,154468,7955,146513,1513,101,1412,794
2020-04-22,156177,8049,148128,1709,94,1615,1171
2020-04-23,157746,8149,149597,1569,100,1469,1079
2020-04-24,159200,8217,150983,1454,68,1386,1092
2020-04-25,160328,8278,152050,1128,61,1067,1136
2020-04-26,161122,8314,152808,794,36,758,868
2020-04-27,162293,8380,153913,1171,66,1105,692
2020-04-28,163372,8445,154927,1079,65,1014,593
2020-04-29,164464,8506,155958,1092,61,1031,832
2020-04-30,165600,8565,157035,1136,59,1077,896
2020-05-01,166468,8602,157866,868,37,831,915
2020-05-02,167160,8626,158534,692,24,668,846
2020-05-03,167753,8650,159103,593,24,569,805
2020-05-04,168585,8693,159892,832,43,789,607
2020-05-05,169481,8731,160750,896,38,858,447
2020-05-06,170396,8757,161639,915,26,889,682
2020-05-07,171242,8793,162449,846,36,810,639
2020-05-08,172047,8827,163220,805,34,771,708
2020-05-09,172654,8834,163820,607,7,600,631
2020-05-10,173101,8859,164242,447,25,422,739
2020-05-11,173783,8881,164902,682,22,660,509
2020-05-12,174422,8898,165524,639,17,622,394
2020-05-13,175130,8924,166206,708,26,682,623
2020-05-14,175761,8940,166821,631,16,615,531
2020-05-15,176500,8970,167530,739,30,709,707
2020-05-16,177009,8993,168016,509,23,486,407
2020-05-17,177403,9006,168397,394,13,381,436
2020-05-18,178026,9018,169008,623,12,611,354
2020-05-19,178557,9030,169527,531,12,519,293
2020-05-20,179264,9060,170204,707,30,677,455
2020-05-21,179671,9066,170605,407,6,401,562
2020-05-22,180107,9078,171029,436,12,424,532
2020-05-23,180461,9088,171373,354,10,344,436
2020-05-24,180754,9094,171660,293,6,287,381
2020-05-25,181209,9103,172106,455,9,446,349
2020-05-26,181771,9117,172654,562,14,548,216
2020-05-27,182303,9130,173173,532,13,519,239
2020-05-28,182739,9139,173600,436,9,427,343
2020-05-29,183120,9143,173977,381,4,377,464
2020-05-30,183469,9147,174322,349,4,345,440
2020-05-31,183685,9154,174531,216,7,209,377
2020-06-01,183924,9160,174764,239,6,233,277
2020-06-02,184267,9166,175101,343,6,337,186
2020-06-03,184731,9171,175560,464,5,459,380
2020-06-04,185171,9175,175996,440,4,436,409
2020-06-05,185548,9181,176367,377,6,371,492
2020-06-06,185825,9187,176638,277,6,271,307
2020-06-07,186011,9192,176819,186,5,181,371
2020-06-08,186391,9195,177196,380,3,377,341
2020-06-09,186800,9200,177600,409,5,404,257
2020-06-10,187292,9208,178084,492,8,484,410
2020-06-11,187599,9211,178388,307,3,304,850
