Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered,Infection_case
2020-03-02,2112,47,2065,0,0,0,820
2020-03-03,2424,58,2366,312,11,301,1114
2020-03-04,2841,68,2773,417,10,407,1780
2020-03-05,3297,77,3220,456,9,447,2270
2020-03-06,3976,96,3880,679,19,660,2840
2020-03-07,4796,118,4678,820,22,798,3160
2020-03-08,5910,140,5770,1114,22,1092,3925
2020-03-09,7690,166,7524,1780,26,1754,3909
2020-03-10,9960,201,9759,2270,35,2235,4057
2020-03-11,12800,249,12551,2840,48,2792,5496
2020-03-12,15960,309,15651,3160,60,3100,4945
2020-03-13,19885,388,19497,3925,79,3846,5150
2020-03-14,23794,449,23345,3909,61,3848,4596
2020-03-15,27851,546,27305,4057,97,3960,5206
2020-03-16,33347,683,32664,5496,137,5359,4238
2020-03-17,38292,811,37481,4945,128,4817,3420
2020-03-18,43442,956,42486,5150,145,5005,4960
2020-03-19,48038,1084,46954,4596,128,4468,4048
2020-03-20,53244,1281,51963,5206,197,5009,4567
2020-03-21,57482,1425,56057,4238,144,4094,4263
2020-03-22,60902,1554,59348,3420,129,3291,4440
2020-03-23,65862,1811,64051,4960,257,4703,3952
