Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered
2020-10-10,340939,10312,330627,0,0,0
2020-10-11,344893,10348,334545,3954,36,3918
2020-10-12,351165,10409,340756,6272,61,6211
2020-10-13,357949,10475,347474,6784,66,6718
2020-10-14,365816,10537,355279,7867,62,7805
2020-10-15,373862,10634,363228,8046,97,7949
2020-10-16,382790,10730,372060,8928,96,8832
2020-10-17,390373,10813,379560,7583,83,7500
2020-10-18,397429,10895,386534,7056,82,6974
2020-10-19,408128,11014,397114,10699,119,10580
2020-10-20,420373,11163,409210,12245,149,12096
2020-10-21,434349,11332,423017,13976,169,13807
2020-10-22,448492,11568,436924,14143,236,13907
2020-10-23,463628,11782,451846,15136,214,14922
2020-10-24,476601,11934,464667,12973,152,12821
2020-10-25,488032,12093,475939,11431,159,11272
2020-10-26,504478,12336,492142,16446,243,16203
2020-10-27,521661,12575,509086,17183,239,16944
2020-10-28,540264,12841,527423,18603,266,18337
2020-10-29,558057,13109,544948,17793,268,17525
2020-10-30,576531,13375,563156,18474,266,18208
2020-10-31,590974,13582,577392,14443,207,14236
2020-11-01,604550,13806,590744,13576,224,13352
2020-11-02,624006,14156,609850,19456,350,19106
2020-11-03,643184,14457,628727,19178,301,18877
2020-11-04,662614,14742,647872,19430,285,19145
2020-11-05,681732,15054,666678,19118,312,18806
2020-11-06,700884,15341,685543,19152,287,18865
2020-11-07,716676,15568,701108,15792,227,15565
2020-11-08,729058,15784,713274,12382,216,12166
2020-11-09,747867,16163,731704,18809,379,18430
2020-11-10,766998,16549,750449,19131,386,18745
2020-11-11,787410,16959,770451,20412,410,20002
2020-11-12,807660,17405,790255,20250,446,19804
2020-11-13,827870,17870,810000,20210,465,19745
2020-11-14,843693,18213,825480,15823,343,15480
2020-11-15,855909,18506,837403,12216,293,11923
2020-11-16,874542,18965,855577,18633,459,18174
2020-11-17,893866,19462,874404,19324,497,18827
2020-11-18,914558,19982,894576,20692,520,20172
2020-11-19,934914,20532,914382,20356,550,19806
2020-11-20,954967,21048,933919,20053,516,19537
2020-11-21,969467,21397,948070,14500,349,14151
2020-11-22,980915,21713,959202,11448,316,11132
2020-11-23,998836,22226,976610,17921,513,17408
2020-11-24,1016962,22740,994222,18126,514,17612
2020-11-25,1036609,23325,1013284,19647,585,19062
2020-11-26,1056018,23934,1032084,19409,609,18800
2020-11-27,1075067,24552,1050515,19049,618,18431
2020-11-28,1090725,25013,1065712,15658,461,15197
2020-11-29,1102443,25378,1077065,11718,365,11353
2020-11-30,1120603,25988,1094615,18160,610,17550
2020-12-01,1140393,26681,1113712,19790,693,19097
2020-12-02,1161871,27417,1134454,21478,736,20742
2020-12-03,1184909,28248,1156661,23038,831,22207
2020-12-04,1207336,29036,1178300,22427,788,21639
2020-12-05,1225660,29591,1196069,18324,555,17769
2020-12-06,1240897,30081,1210816,15237,490,14747
2020-12-07,1263432,30874,1232558,22535,793,21742
2020-12-08,1287842,31762,1256080,24410,888,23522
2020-12-09,1313596,32604,1280992,25754,842,24912
2020-12-10,1340450,33670,1306780,26854,1066,25788
2020-12-11,1366638,34628,1332010,26188,958,25230
2020-12-12,1388727,35428,1353299,22089,800,21289
2020-12-13,1405749,36034,1369715,17022,606,16416
2020-12-14,1430629,36986,1393643,24880,952,23928
2020-12-15,1456778,38034,1418744,26149,1048,25101
2020-12-16,1484914,39097,1445817,28136,1063,27073
2020-12-17,1512532,40193,1472339,27618,1096,26522
2020-12-18,1539310,41196,1498114,26778,1003,25775
2020-12-19,1560392,41957,1518435,21082,761,20321
2020-12-20,1577635,42644,1534991,17243,687,16556
2020-12-21,1600291,43636,1556655,22656,992,21664
2020-12-22,1624725,44696,1580029,24434,1060,23374
2020-12-23,1651326,45834,1605492,26601,1138,25463
2020-12-24,1670789,46605,1624184,19463,771,18692
2020-12-25,1685329,47210,1638119,14540,605,13935
2020-12-26,1700522,47868,1652654,15193,658,14535
2020-12-27,1715109,48442,1666667,14587,574,14013
2020-12-28,1735725,49413,1686312,20616,971,19645
2020-12-29,1758122,50519,1707603,22397,1106,21291
2020-12-30,1781576,51647,1729929,23454,1128,22326
2020-12-31,1798681,52359,1746322,17105,712,16393
2021-01-01,1812098,52872,1759226,13417,513,12904
2021-01-02,1826556,53466,1773090,14458,594,13864
2021-01-03,1840687,54011,1786676,14131,545,13586
2021-01-04,1860035,54809,1805226,19348,798,18550
2021-01-05,1881897,55759,1826138,21862,950,20912
2021-01-06,1903122,56635,1846487,21225,876,20349
2021-01-07,1923250,57506,1865744,20128,871,19257
2021-01-08,1943466,58344,1885122,20216,838,19378
2021-01-09,1958613,58898,1899715,15147,554,14593
2021-01-10,1970203,59403,1910800,11590,505,11085
2021-01-11,1986514,60064,1926450,16311,661,15650
2021-01-12,2004894,60914,1943980,18380,850,17530
2021-01-13,2023996,61789,1962207,19102,875,18227
2021-01-14,2040991,62606,1978385,16995,817,16178
2021-01-15,2057221,63363,1993858,16230,757,15473
2021-01-16,2070478,63869,2006609,13257,506,12751
2021-01-17,2080486,64309,2016177,10008,440,9568
2021-01-18,2094146,64937,2029209,13660,628,13032
2021-01-19,2109916,65684,2044232,15770,747,15023
2021-01-20,2125885,66405,2059480,15969,721,15248
2021-01-21,2140124,67043,2073081,14239,638,13601
2021-01-22,2153548,67641,2085907,13424,598,12826
2021-01-23,2164658,68046,2096612,11110,405,10705
2021-01-24,2172595,68340,2104255,7937,294,7643
2021-01-25,2183189,68811,2114378,10594,471,10123
2021-01-26,2196353,69326,2127027,13164,515,12649
2021-01-27,2209035,69828,2139207,12682,502,12180
2021-01-28,2220405,70275,2150130,11370,447,10923
2021-01-29,2231741,70695,2161046,11336,420,10916
2021-01-30,2241325,71009,2170316,9584,314,9270
2021-01-31,2247978,71209,2176769,6653,200,6453
2021-02-01,2256951,71581,2185370,8973,372,8601
2021-02-02,2267306,71968,2195338,10355,387,9968
2021-02-03,2278145,72386,2205759,10839,418,10421
2021-02-04,2287611,72749,2214862,9466,363,9103
2021-02-05,2296533,73051,2223482,8922,302,8620
2021-02-06,2304248,73269,2230979,7715,218,7497
2021-02-07,2309342,73424,2235918,5094,155,4939
2021-02-08,2316375,73685,2242690,7033,261,6772
2021-02-09,2324486,73979,2250507,8111,294,7817
2021-02-10,2333098,74254,2258844,8612,275,8337
2021-02-11,2340945,74526,2266419,7847,272,7575
2021-02-12,2348919,74756,2274163,7974,230,7744
2021-02-13,2355272,74926,2280346,6353,170,6183
2021-02-14,2360740,75055,2285685,5468,129,5339
2021-02-15,2368097,75301,2292796,7357,246,7111
2021-02-16,2376534,75560,2300974,8437,259,8178
2021-02-17,2385336,75828,2309508,8802,268,8534
2021-02-18,2393753,76062,2317691,8417,234,8183
2021-02-19,2402231,76272,2325959,8478,210,8268
2021-02-20,2410112,76431,2333681,7881,159,7722
2021-02-21,2415621,76555,2339066,5509,124,5385
2021-02-22,2423221,76782,2346439,7600,227,7373
2021-02-23,2432229,76978,2355251,9008,196,8812
2021-02-24,2441341,77178,2364163,9112,200,8912
2021-02-25,2449801,77360,2372441,8460,182,8278
2021-02-26,2458661,77522,2381139,8860,162,8698
2021-02-27,2466496,77662,2388834,7835,140,7695
2021-02-28,2472485,77768,2394717,5989,106,5883
2021-03-01,2480765,77960,2402805,8280,192,8088
2021-03-02,2490304,78122,2412182,9539,162,9377
2021-03-03,2500193,78273,2421920,9889,151,9738
2021-03-04,2509433,78423,2431010,9240,150,9090
2021-03-05,2519036,78583,2440453,9603,160,9443
2021-03-06,2527820,78725,2449095,8784,142,8642
2021-03-07,2534709,78836,2455873,6889,111,6778
2021-03-08,2544393,79025,2465368,9684,189,9495
2021-03-09,2555710,79177,2476533,11317,152,11165
2021-03-10,2568395,79356,2489039,12685,179,12506
2021-03-11,2580654,79550,2501104,12259,194,12065
2021-03-12,2593353,79727,2513626,12699,177,12522
2021-03-13,2605027,79872,2525155,11674,145,11529
2021-03-14,2614391,79999,2534392,9364,127,9237
2021-03-15,2627039,80199,2546840,12648,200,12448
2021-03-16,2641923,80391,2561532,14884,192,14692
2021-03-17,2658198,80593,2577605,16275,202,16073
2021-03-18,2673346,80805,2592541,15148,212,14936
2021-03-19,2688702,81020,2607682,15356,215,15141
2021-03-20,2702974,81188,2621786,14272,168,14104
2021-03-21,2714315,81340,2632975,11341,152,11189
2021-03-22,2729716,81545,2648171,15401,205,15196
2021-03-23,2747814,81811,2666003,18098,266,17832
2021-03-24,2767429,82058,2685371,19615,247,19368
2021-03-25,2786341,82310,2704031,18912,252,18660
2021-03-26,2804822,82555,2722267,18481,245,18236
2021-03-27,2820715,82756,2737959,15893,201,15692
2021-03-28,2832296,82918,2749378,11581,162,11419
2021-03-29,2848253,83181,2765072,15957,263,15694
2021-03-30,2866071,83426,2782645,17818,245,17573
2021-03-31,2885220,83675,2801545,19149,249,18900
2021-04-01,2904440,83943,2820497,19220,268,18952
2021-04-02,2920193,84147,2836046,15753,204,15549
2021-04-03,2933659,84364,2849295,13466,217,13249
2021-04-04,2945713,84528,2861185,12054,164,11890
2021-04-05,2958883,84726,2874157,13170,198,12972
2021-04-06,2975465,84987,2890478,16582,261,16321
2021-04-07,2995915,85233,2910682,20450,246,20204
2021-04-08,3017422,85498,2931924,21507,265,21242
2021-04-09,3037978,85725,2952253,20556,227,20329
2021-04-10,3056649,85971,2970678,18671,246,18425
2021-04-11,3070334,86111,2984223,13685,140,13545
2021-04-12,3089242,86366,3002876,18908,255,18653
2021-04-13,3111219,86606,3024613,21977,240,21737
2021-04-14,3134378,86854,3047524,23159,248,22911
2021-04-15,3155535,87094,3068441,21157,240,20917
2021-04-16,3177336,87342,3089994,21801,248,21553
2021-04-17,3196142,87557,3108585,18806,215,18591
2021-04-18,3211118,87734,3123384,14976,177,14799
2021-04-19,3230859,87972,3142887,19741,238,19503
2021-04-20,3254582,88248,3166334,23723,276,23447
2021-04-21,3278454,88495,3189959,23872,247,23625
2021-04-22,3300151,88735,3211416,21697,240,21457
2021-04-23,3321177,88961,3232216,21026,226,20800
2021-04-24,3339262,89170,3250092,18085,209,17876
2021-04-25,3352392,89292,3263100,13130,122,13008
2021-04-26,3369883,89492,3280391,17491,200,17291
2021-04-27,3389674,89673,3300001,19791,181,19610
2021-04-28,3409999,89890,3320109,20325,217,20108
2021-04-29,3427592,90062,3337530,17593,172,17421
2021-04-30,3444796,90244,3354552,17204,182,17022
2021-05-01,3459544,90398,3369146,14748,154,14594
2021-05-02,3470032,90511,3379521,10488,113,10375
2021-05-03,3483803,90660,3393143,13771,149,13622
2021-05-04,3500198,90839,3409359,16395,179,16216
2021-05-05,3516079,90983,3425096,15881,144,15737
2021-05-06,3529868,91110,3438758,13789,127,13662
2021-05-07,3542945,91266,3451679,13077,156,12921
2021-05-08,3554043,91347,3462696,11098,81,11017
2021-05-09,3562009,91430,3470579,7966,83,7883
2021-05-10,3572424,91558,3480866,10415,128,10287
2021-05-11,3584311,91662,3492649,11887,104,11783
2021-05-12,3596065,91767,3504298,11754,105,11649
2021-05-13,3604348,91845,3512503,8283,78,8205
2021-05-14,3612147,91918,3520229,7799,73,7726
2021-05-15,3620054,91997,3528057,7907,79,7828
2021-05-16,3625823,92051,3533772,5769,54,5715
2021-05-17,3632874,92118,3540756,7051,67,6984
2021-05-18,3641352,92179,3549173,8478,61,8417
2021-05-19,3649291,92243,3557048,7939,64,7875
2021-05-20,3655864,92312,3563552,6573,69,6504
2021-05-21,3661928,92353,3569575,6064,41,6023
2021-05-22,3666953,92401,3574552,5025,48,4977
2021-05-23,3670033,92430,3577603,3080,29,3051
2021-05-24,3673346,92462,3580884,3313,32,3281
2021-05-25,3677556,92500,3585056,4210,38,4172
2021-05-26,3682584,92539,3590045,5028,39,4989
2021-05-27,3687514,92571,3594943,4930,32,4898
2021-05-28,3691747,92604,3599143,4233,33,4200
2021-05-29,3695101,92622,3602479,3354,18,3336
2021-05-30,3697365,92636,3604729,2264,14,2250
2021-05-31,3700271,92659,3607612,2906,23,2883
2021-06-01,3703914,92682,3611232,3643,23,3620
2021-06-02,3707380,92701,3614679,3466,19,3447
2021-06-03,3709961,92713,3617248,2581,12,2569
2021-06-04,3712176,92726,3619450,2215,13,2202
2021-06-05,3714267,92749,3621518,2091,23,2068
2021-06-06,3715878,92757,3623121,1611,8,1603
2021-06-07,3717906,92771,3625135,2028,14,2014
2021-06-08,3720337,92778,3627559,2431,7,2424
2021-06-09,3722370,92784,3629586,2033,6,2027
2021-06-10,3724234,92791,3631443,1864,7,1857
2021-06-11,3725722,92798,3632924,1488,7,1481
2021-06-12,3726974,92805,3634169,1252,7,1245
2021-06-13,3727810,92810,3635000,836,5,831
2021-06-14,3728940,92825,3636115,1130,15,1115
2021-06-15,3730158,92832,3637326,1218,7,1211
2021-06-16,3731328,92837,3638491,1170,5,1165
2021-06-17,3732322,92839,3639483,994,2,992
2021-06-18,3733255,92852,3640403,933,13,920
2021-06-19,3733945,92854,3641091,690,2,688
2021-06-20,3734476,92857,3641619,531,3,528
2021-06-21,3735265,92859,3642406,789,2,787
2021-06-22,3736147,92865,3643282,882,6,876
2021-06-23,3736941,92869,3644072,794,4,790
2021-06-24,3737681,92872,3644809,740,3,737
2021-06-25,3738357,92876,3645481,676,4,672
2021-06-26,3738952,92876,3646076,595,0,595
2021-06-27,3739408,92877,3646531,456,1,455
2021-06-28,3740155,92882,3647273,747,5,742
2021-06-29,3740915,92886,3648029,760,4,756
2021-06-30,3741786,92891,3648895,871,5,866
2021-07-01,3742494,92897,3649597,708,6,702
2021-07-02,3743210,92900,3650310,716,3,713
2021-07-03,3743872,92902,3650970,662,2,660
2021-07-04,3744484,92903,3651581,612,1,611
2021-07-05,3745435,92905,3652530,951,2,949
2021-07-06,3746471,92912,3653559,1036,7,1029
2021-07-07,3747501,92918,3654583,1030,6,1024
2021-07-08,3748568,92922,3655646,1067,4,1063
2021-07-09,3749620,92927,3656693,1052,5,1047
2021-07-10,3750703,92932,3657771,1083,5,1078
